"","gender","condtn","order","match","int_corr","samerace","age_o","race_o","pf_o_att","pf_o_sin","pf_o_int","pf_o_fun","pf_o_amb","pf_o_sha","dec_o","attr_o","sinc_o","intel_o","fun_o","amb_o","shar_o","like_o","prob_o","met_o","age","field_cd","race","imprace","imprelig","goal","date","go_out","career_c","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga","exphappy","attr1_1","sinc1_1","intel1_1","fun1_1","amb1_1","shar1_1","attr2_1","sinc2_1","intel2_1","fun2_1","amb2_1","shar2_1","attr3_1","sinc3_1","fun3_1","intel3_1","amb3_1","diff.att","diff.amb","diff.sinc","diff.intel","diff.fun"
"1","1","2",6,"0",0.29,"0",28,"2",25,20,20,25,0,10,"0",4,5,4,5,6,0,2,5,2,28,"Business","3",3,7,"MeetNewPpl","1/Month","2/Week","Banking/Consulting",6,9,7,10,8,7,6,6,8,9,6,9,9,8,8,6,4,6,23,18,21,18,10,10,15,25,20,15,15,10,7,10,9,9,9,1,1,1,1,1
"2","0","1",2,"0",0.15,"1",28,"2",16,25,20,12,12,15,"1",7,7,8,6,7,5,6.5,4,2,22,"SocialWork","2",1,1,"ToSayIDidIt","2/Month","2/Week","SocialWork",8,4,5,10,8,8,7,4,3,9,7,8,7,4,5,6,4,5,10,10,40,10,15,15,35,5,15,25,5,15,8,9,7,10,7,1,0,1,1,1
"3","1","2",19,"0",0.31,"0",23,"4",16,16,19,17,14,18,"1",6,5,5,5,6,5,6,5,2,28,"Business","3",3,7,"MeetNewPpl","1/Month","2/Week","Banking/Consulting",6,9,7,10,8,7,6,6,8,9,6,9,9,8,8,6,4,6,23,18,21,18,10,10,15,25,20,15,15,10,7,10,9,9,9,1,1,1,1,1
"4","1","2",8,"0",0.66,"0",24,"6",14,18,20,18,16,14,"0",7,6,7,7,7,4,4,5,2,27,"Business","2",7,1,"MeetNewPpl","1/Month","1/Week","Banking/Consulting",2,1,2,7,7,5,3,5,1,13,6,6,7,6,5,2,1,6,7.5,17.5,20,22.5,12.5,20,19.57,17.39,15.22,17.39,17.39,13.04,5,10,9,9,10,0,1,1,1,1
"5","0","2",11,"0",0.09,"1",24,"2",10,20,35,20,0,15,"1",8,8,7,7,6,4,7,4,2,29,"Engineering","2",2,2,"FunNightOut","1/Month","SVRL/Week","Academic/Research",3,2,6,10,7,6,8,7,8,7,5,8,8,6,5,7,6,6,14,20,18,24,18,6,30,15,15,20,10,10,8,8,8,8,7,0,1,0,1,1
"6","0","2",12,"1",0.68,"0",25,"2",70,0,15,15,0,0,"1",7,7,9,8,9,7,8,5,2,28,"English","4",2,2,"MeetNewPpl","2/Month","2/Week","Journalism",6,3,6,7,7,7,3,3,4,6,4,4,8,5,7,7,7,6,10,20,30,10,10,20,50,10,10,10,10,10,5,6,4,8,9,0,0,0,0,0
"7","0","2",18,"0",-0.52,"0",25,"6",16.67,16.67,16.67,16.67,14.81,18.52,"1",9,9,9,8,8,9,9,9,2,22,"Math","2",4,10,"Other","SVRL/Year","2/Week","Academic/Research",3,1,8,6,4,2,2,1,6,7,10,6,8,3,7,9,2,3,16,20,18,20,18,8,23.68,18.42,10.53,18.42,13.16,15.79,9,8,9,10,7,0,0,0,1,1
"8","1","1",8,"0",0.47,"0",24,"4",15,20,15,20,15,15,"0",4,7,7,5,9,4,5,6,2,33,"Business","6",2,7,"MeetNewPpl","1/Week","SVRL/Week","Banking/Consulting",7,9,1,10,8,6,1,1,6,10,7,3,8,8,5,4,1,5,22,22,15,15,5,21,15,15,25,10,25,10,7,9,7,10,7,1,0,1,1,1
"9","1","2",4,"0",0.61,"0",25,"1",11.54,13.46,19.23,19.23,19.23,17.31,"0",5,7,10,5,7,6,5,5,2,27,"Math","2",8,3,"MeetNewPpl","SVRL/Year","1/Week","Academic/Research",5,1,6,8,10,9,6,4,7,9,1,9,9,10,8,3,1,3,9.52,19.05,23.81,19.05,4.76,23.81,16.67,21.43,7.14,21.43,14.29,19.05,4,9,7,9,4,0,0,1,0,1
"10","0","2",11,"0",0.25,"0",27,"2",19,13,18,18,10,22,"0",4,7,7,5,5,4,5,4,2,24,"SocialWork","4",1,1,"MeetNewPpl","SVRL/Year","2/Week","Academic/Research",7,1,7,8,9,8,9,4,9,9,6,7,9,7,9,5,4,5,10,40,10,20,10,10,40,10,10,10,10,20,6,9,9,8,9,1,1,1,1,1
